Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
HBR_Rep1_ERCC_read1 - polya	(1, 0.0)	(2, 0.0016867530846497035)	(3, 0.0025301296269745555)	(4, 0.004216882711624259)	(5, 0.005060259253949111)	(6, 0.008433765423248517)	(7, 0.011807271592547925)	(8, 0.013494024677197628)	(9, 0.015180777761847331)	(10, 0.020241037015796444)	(12, 0.021084413558121295)	(14, 0.022771166642771)	(16, 0.02572298454090798)	(18, 0.027409737625557682)	(20, 0.030361555523694662)	(22, 0.033313373421831646)	(24, 0.03668687959113105)	(26, 0.04006038576043046)	(28, 0.043855580200892294)	(30, 0.045964021556704426)	(32, 0.04807246291251655)	(34, 0.05018090426832868)	(36, 0.05355441043762808)	(38, 0.05903635796273962)	(40, 0.06451830548785116)	(42, 0.06578337030133843)	(44, 0.06831349992831298)	(46, 0.07084362955528754)	(48, 0.07126531782644997)	(50, 0.07295207091109968)	(52, 0.07421713572458695)	(54, 0.07674726535156151)	(56, 0.0780123301650488)	(58, 0.08096414806318578)	(60, 0.08265090114783546)	(62, 0.08433765423248518)	(64, 0.08560271904597246)	(66, 0.08602440731713488)	(68, 0.08855453694410945)	(70, 0.09066297829992156)	(72, 0.09277141965573368)	(74, 0.09403648446922097)	(76, 0.09740999063852038)	(78, 0.10036180853665735)	(80, 0.10120518507898221)	(82, 0.10204856162130707)	(84, 0.10373531470595676)	(86, 0.10668713260409375)	(88, 0.10710882087525618)
HBR_Rep1_ERCC_read1_val_1 - polya	(1, 0.0)	(2, 0.0016885046602728624)	(3, 0.0025327569904092934)	(4, 0.004221261650682156)	(5, 0.005065513980818587)	(6, 0.008442523301364312)	(7, 0.011819532621910036)	(8, 0.013508037282182899)	(9, 0.015196541942455762)	(10, 0.020262055923274347)	(12, 0.02110630825341078)	(14, 0.02279481291368364)	(16, 0.02574969606916115)	(18, 0.027438200729434016)	(20, 0.03039308388491152)	(22, 0.03334796704038903)	(24, 0.036724976360934754)	(26, 0.040101985681480476)	(28, 0.04390112116709442)	(30, 0.0460117519924355)	(32, 0.048122382817776574)	(34, 0.05023301364311765)	(36, 0.05361002296366338)	(38, 0.05909766310955018)	(40, 0.06458530325543699)	(42, 0.06585168175064163)	(44, 0.06838443874105093)	(46, 0.07091719573146021)	(48, 0.07133932189652843)	(50, 0.07302782655680129)	(52, 0.07429420505200594)	(54, 0.07682696204241524)	(56, 0.07809334053761988)	(58, 0.08104822369309739)	(60, 0.08273672835337026)	(62, 0.08442523301364312)	(64, 0.08569161150884777)	(66, 0.08611373767391597)	(68, 0.08780224233418885)	(70, 0.08991287315952992)	(72, 0.092023503984871)	(74, 0.09328988248007564)	(76, 0.09666689180062138)	(78, 0.09962177495609888)	(80, 0.10046602728623531)	(82, 0.10131027961637173)	(84, 0.1029987842766446)	(86, 0.10510941510198568)	(88, 0.1055315412670539)
HBR_Rep3_ERCC_read1 - polya	(1, 0.0007704991293359839)	(2, 0.0023114973880079518)	(3, 0.0030819965173439355)	(4, 0.0046229947760159035)	(5, 0.006934492164023855)	(6, 0.008475490422695822)	(7, 0.01001648868136779)	(8, 0.010786987810703775)	(9, 0.014639483457383693)	(10, 0.020803476492071565)	(12, 0.021959225186075543)	(14, 0.0238854730094155)	(16, 0.026196970397423452)	(18, 0.03004946604410337)	(20, 0.033901961690783286)	(22, 0.03621345907879124)	(24, 0.038524956466799196)	(26, 0.04083645385480714)	(28, 0.04391845037215108)	(30, 0.04584469819549104)	(32, 0.04622994776015903)	(34, 0.04700044688949502)	(36, 0.04815619558349899)	(38, 0.051623441665510916)	(40, 0.05470543818285485)	(42, 0.05586118687685883)	(44, 0.059713682523538744)	(46, 0.0620251799115467)	(48, 0.06510717642889063)	(50, 0.0666481746875626)	(52, 0.06780392338156657)	(54, 0.06895967207557055)	(56, 0.0712711694635785)	(58, 0.07358266685158646)	(60, 0.07550891467492642)	(62, 0.0762794138042624)	(64, 0.07704991293359839)	(66, 0.07782041206293437)	(68, 0.07820566162760237)	(70, 0.07974665988627433)	(72, 0.08128765814494629)	(74, 0.08321390596828626)	(76, 0.08706640161496618)	(78, 0.09053364769697811)	(80, 0.09361564421432203)	(82, 0.095156642472994)	(84, 0.09669764073166598)	(86, 0.10093538594301388)	(88, 0.10324688333102183)
HBR_Rep3_ERCC_read1_val_1 - polya	(1, 0.0007714263673532361)	(2, 0.0023142791020597086)	(3, 0.0030857054694129445)	(4, 0.004628558204119417)	(5, 0.006942837306179125)	(6, 0.008485690040885598)	(7, 0.01002854277559207)	(8, 0.010799969142945306)	(9, 0.014657100979711487)	(10, 0.020828511918537376)	(12, 0.02198565146956723)	(14, 0.02391421738795032)	(16, 0.02622849649001003)	(18, 0.03008562832677621)	(20, 0.03394276016354239)	(22, 0.0362570392656021)	(24, 0.038571318367661804)	(26, 0.040885597469721514)	(28, 0.04397130293913446)	(30, 0.04589986885751755)	(32, 0.046285582041194165)	(34, 0.0470570084085474)	(36, 0.04821414795957726)	(38, 0.05168556661266682)	(40, 0.05477127208207976)	(42, 0.05592841163310962)	(44, 0.0597855434698758)	(46, 0.06209982257193551)	(48, 0.06518552804134845)	(50, 0.06672838077605492)	(52, 0.06788552032708478)	(54, 0.06904265987811464)	(56, 0.07135693898017434)	(58, 0.07367121808223406)	(60, 0.07559978400061713)	(62, 0.07637121036797037)	(64, 0.07637121036797037)	(66, 0.07714263673532361)	(68, 0.07752834991900023)	(70, 0.07907120265370671)	(72, 0.08061405538841318)	(74, 0.08254262130679627)	(76, 0.08639975314356245)	(78, 0.08987117179665202)	(80, 0.09257116408238833)	(82, 0.09372830363341819)	(84, 0.09527115636812467)	(86, 0.09951400138856746)	(88, 0.10182828049062717)
UHR_Rep1_ERCC_read1 - polya	(1, 0.00043976920911905433)	(2, 0.001319307627357163)	(3, 0.002638615254714326)	(4, 0.0035181536729524347)	(5, 0.004397692091190543)	(6, 0.005716999718547706)	(7, 0.005716999718547706)	(8, 0.007476076555023923)	(9, 0.010994230227976357)	(10, 0.01759076836476217)	(12, 0.018250422178440754)	(14, 0.01934984520123839)	(16, 0.02088903743315508)	(18, 0.02176857585139319)	(20, 0.022867998874190824)	(22, 0.02550661412890515)	(24, 0.029684421615536166)	(26, 0.03518153672952434)	(28, 0.03825992119335773)	(30, 0.04023888263439347)	(32, 0.04353715170278638)	(34, 0.045296228539262594)	(36, 0.04727518998029834)	(38, 0.0485944976076555)	(40, 0.051233112862369826)	(42, 0.053871728117084156)	(44, 0.056510343371798485)	(46, 0.05848930481283422)	(48, 0.0591489586265128)	(50, 0.06002849704475091)	(52, 0.0606881508584295)	(54, 0.06266711229946524)	(56, 0.06442618913594145)	(58, 0.06552561215873909)	(60, 0.0664051505769772)	(62, 0.06904376583169153)	(64, 0.07036307345904869)	(66, 0.07146249648184633)	(68, 0.07366134252744161)	(70, 0.07608007317759641)	(72, 0.0784988038277512)	(74, 0.08025788066422741)	(76, 0.08729418801013228)	(78, 0.09037257247396566)	(80, 0.09103222628764425)	(82, 0.09367084154235857)	(84, 0.0947702645651562)	(86, 0.09850830284266818)	(88, 0.10422530256121587)
UHR_Rep1_ERCC_read1_val_1 - polya	(1, 0.0004405868616997841)	(2, 0.0013217605850993524)	(3, 0.0026435211701987048)	(4, 0.0035246948935982727)	(5, 0.004405868616997841)	(6, 0.005727629202097194)	(7, 0.005727629202097194)	(8, 0.00748997664889633)	(9, 0.011014671542494603)	(10, 0.017623474467991364)	(12, 0.018284354760541043)	(14, 0.0193858219147905)	(16, 0.020927875930739748)	(18, 0.021809049654139316)	(20, 0.022910516808388775)	(22, 0.02555403797858748)	(24, 0.029739613164735425)	(26, 0.03524694893598273)	(28, 0.038331056967881215)	(30, 0.040313697845530246)	(32, 0.04361809930827863)	(34, 0.04538044675507777)	(36, 0.04736308763272679)	(38, 0.04868484821782615)	(40, 0.05132836938802485)	(42, 0.05397189055822355)	(44, 0.05661541172842226)	(46, 0.05859805260607129)	(48, 0.05925893289862096)	(50, 0.06014010662202053)	(52, 0.06080098691457021)	(54, 0.06234304093051945)	(56, 0.06410538837731859)	(58, 0.06520685553156805)	(60, 0.06608802925496762)	(62, 0.06873155042516632)	(64, 0.07005331101026567)	(66, 0.07093448473366523)	(68, 0.07291712561131428)	(70, 0.07489976648896329)	(72, 0.07732299422831211)	(74, 0.07908534167511125)	(76, 0.0861347314623078)	(78, 0.08921883949420628)	(80, 0.08987971978675596)	(82, 0.09252324095695466)	(84, 0.09340441468035424)	(86, 0.09670881614310262)	(88, 0.10177556505265013)
UHR_Rep2_ERCC_read1 - polya	(1, 0.0012317318766051006)	(2, 0.002463463753210201)	(3, 0.005542793444722953)	(4, 0.008622123136235704)	(5, 0.011085586889445906)	(6, 0.012317318766051006)	(7, 0.014164916580958658)	(8, 0.015396648457563758)	(9, 0.02093944190228671)	(10, 0.027713967223614765)	(12, 0.03110122988427879)	(14, 0.03418055957579154)	(16, 0.03602815739069919)	(18, 0.03756782223645557)	(20, 0.04003128598966577)	(22, 0.04187888380457342)	(24, 0.0446502805269349)	(26, 0.048345476156750194)	(28, 0.05173273881741422)	(30, 0.056043800385532076)	(32, 0.05973899601534738)	(34, 0.0631262586760114)	(36, 0.06651352133667543)	(38, 0.06805318618243181)	(40, 0.07082458290479329)	(42, 0.07298011368885221)	(44, 0.07359597962715475)	(46, 0.07513564447291113)	(48, 0.07729117525697006)	(50, 0.07852290713357515)	(52, 0.08098637088678537)	(54, 0.08406570057829812)	(56, 0.08622123136235704)	(58, 0.08714503026981087)	(60, 0.08806882917726469)	(62, 0.09053229293047489)	(64, 0.0942274885602902)	(66, 0.09669095231350039)	(68, 0.09761475122095423)	(70, 0.09977028200501314)	(72, 0.10254167872737463)	(74, 0.10377341060397974)	(76, 0.10592894138803866)	(78, 0.11085586889445906)	(80, 0.11424313155512308)	(82, 0.11824626015408965)	(84, 0.12070972390729987)	(86, 0.12440491953711516)	(88, 0.1290239140743843)
UHR_Rep2_ERCC_read1_val_1 - polya	(1, 0.0012345221781909312)	(2, 0.0024690443563818625)	(3, 0.00555534980185919)	(4, 0.00864165524733652)	(5, 0.01111069960371838)	(6, 0.012345221781909312)	(7, 0.014197005049195709)	(8, 0.01543152722738664)	(9, 0.02098687702924583)	(10, 0.027776749009295953)	(12, 0.031171684999321013)	(14, 0.03425799044479834)	(16, 0.036109773712084736)	(18, 0.0376529264348234)	(20, 0.04012197079120526)	(22, 0.04197375405849166)	(24, 0.044751428959421254)	(26, 0.04845499549399405)	(28, 0.05184993148401911)	(30, 0.056170759107687374)	(32, 0.05987432564226017)	(34, 0.06326926163228522)	(36, 0.0666641976223103)	(38, 0.06820735034504895)	(40, 0.07098502524597855)	(42, 0.07314543905781268)	(44, 0.07376270014690814)	(46, 0.0753058528696468)	(48, 0.07746626668148093)	(50, 0.07870078885967186)	(52, 0.08116983321605373)	(54, 0.08363887757243559)	(56, 0.08579929138426971)	(58, 0.08672518301791292)	(60, 0.08765107465155611)	(62, 0.09012011900793798)	(64, 0.09351505499796303)	(66, 0.09567546880979716)	(68, 0.09660136044344036)	(70, 0.09876177425527449)	(72, 0.10153944915620408)	(74, 0.10277397133439503)	(76, 0.10493438514622916)	(78, 0.10987247385899288)	(80, 0.11326740984901792)	(82, 0.11727960692813846)	(84, 0.11974865128452034)	(86, 0.12283495672999765)	(88, 0.12746441489821364)
