Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
UHR_Rep1_ERCC_read1	(1.0, 47.75184602507157)	(2.0, 8.849832674553658)	(3.0, 3.354105359158352)	(4.0, 2.048563527191509)	(5.0, 1.426356841299268)	(6.0, 1.1540016651639193)	(7.0, 1.0135392457784815)	(8.0, 0.8002207349439702)	(9.0, 0.8405633548686317)	('>10', 14.07681116056133)	('>50', 7.4081208231518785)	('>100', 10.336000280149914)	('>500', 0.940038308107523)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep1_ERCC_read1_val_1	(1.0, 47.78537207709688)	(2.0, 8.834926787202672)	(3.0, 3.3560022570223893)	(4.0, 2.063204598002965)	(5.0, 1.4411598322888952)	(6.0, 1.1647511124820675)	(7.0, 1.0103679611246181)	(8.0, 0.8051974556088911)	(9.0, 0.8610524988894528)	('>10', 14.05998634024756)	('>50', 7.361252288193647)	('>100', 10.31880448091092)	('>500', 0.937922310929038)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep1_ERCC_read2	(1.0, 47.24019649584274)	(2.0, 8.560308576397809)	(3.0, 3.088787655296963)	(4.0, 1.790307877708457)	(5.0, 1.3290173333872883)	(6.0, 1.1360626723081964)	(7.0, 0.8517203364519579)	(8.0, 0.8337147175519486)	(9.0, 0.7856997338185903)	('>10', 17.673879012397066)	('>50', 7.859725462261662)	('>100', 8.408078401489218)	('>500', 0.4425017250881088)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep1_ERCC_read2_val_2	(1.0, 47.78803745808677)	(2.0, 8.583048897998005)	(3.0, 3.0913797152405937)	(4.0, 1.7347989119327798)	(5.0, 1.305941493834263)	(6.0, 1.1502329369540787)	(7.0, 0.8482920602323051)	(8.0, 0.8108350082220473)	(9.0, 0.7932081602172203)	('>10', 17.40045317576512)	('>50', 7.664924687099043)	('>100', 8.382667904295596)	('>500', 0.4461795901221864)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep2_ERCC_read1	(1.0, 46.75592616999132)	(2.0, 6.23995368688144)	(3.0, 2.9247473409988114)	(4.0, 1.9264286550103773)	(5.0, 1.5673788129799904)	(6.0, 1.2785376879160946)	(7.0, 1.1036317614381703)	(8.0, 1.0248009213354436)	(9.0, 0.936732092158179)	('>10', 16.688735196122508)	('>50', 7.24196756849969)	('>100', 10.791818836875589)	('>500', 1.5193412697923916)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep2_ERCC_read1_val_1	(1.0, 46.83221609076207)	(2.0, 6.23063343332963)	(3.0, 2.925817562312507)	(4.0, 1.923385553621471)	(5.0, 1.5709294717479598)	(6.0, 1.2592126217547497)	(7.0, 1.1104526992827426)	(8.0, 1.0419367183931458)	(9.0, 0.9277434169104848)	('>10', 16.638272656568276)	('>50', 7.237386269644334)	('>100', 10.78416848758688)	('>500', 1.51784501808575)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep2_ERCC_read2	(1.0, 46.36854649479901)	(2.0, 5.776822501277922)	(3.0, 2.5182758217191283)	(4.0, 1.7638400472985043)	(5.0, 1.487316241000659)	(6.0, 1.2563665141372027)	(7.0, 1.1122538845744057)	(8.0, 1.1085586889445906)	(9.0, 0.8868469511556725)	('>10', 20.60564256372673)	('>50', 8.083856306159275)	('>100', 8.611653415284561)	('>500', 0.42002056992233927)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep2_ERCC_read2_val_2	(1.0, 46.584077132945694)	(2.0, 5.750404306013357)	(3.0, 2.5128698937076406)	(4.0, 1.7530214930311223)	(5.0, 1.4906855301655495)	(6.0, 1.2332876560127402)	(7.0, 1.149340147895757)	(8.0, 1.0913176055207832)	(9.0, 0.8944113180993297)	('>10', 20.463439625692875)	('>50', 8.065133390121353)	('>100', 8.591039838030689)	('>500', 0.42097206276310756)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep3_ERCC_read1	(1.0, 41.58712697231479)	(2.0, 6.713689455463164)	(3.0, 3.1885980522211796)	(4.0, 2.1548516517293814)	(5.0, 1.7417844932647406)	(6.0, 1.274792118290355)	(7.0, 1.1022314254591732)	(8.0, 1.0137940703831927)	(9.0, 0.9949202446047821)	('>10', 17.678842980554567)	('>50', 8.546068312464275)	('>100', 13.198735992925013)	('>500', 0.8045642303253848)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep3_ERCC_read1_val_1	(1.0, 41.646592418955855)	(2.0, 6.712540373543041)	(3.0, 3.1888347574346736)	(4.0, 2.1539757812753177)	(5.0, 1.7391680079504823)	(6.0, 1.270348805807309)	(7.0, 1.1077744050641114)	(8.0, 0.9981312045628856)	(9.0, 0.9965108616983354)	('>10', 17.662277337884696)	('>50', 8.534345867585582)	('>100', 13.184189774556296)	('>500', 0.805310403681419)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep3_ERCC_read2	(1.0, 40.59705999719589)	(2.0, 6.259639132451117)	(3.0, 2.8051897628368976)	(4.0, 1.8981676211429988)	(5.0, 1.5233873664002762)	(6.0, 1.3039117352056169)	(7.0, 1.1399790770159943)	(8.0, 0.9016296200429245)	(9.0, 0.9997735140906591)	('>10', 22.318029356887866)	('>50', 8.980705557532813)	('>100', 10.891815230638151)	('>500', 0.38071202855879466)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep3_ERCC_read2_val_2	(1.0, 40.870448186836335)	(2.0, 6.236159571365301)	(3.0, 2.788610069890789)	(4.0, 1.8882395514890953)	(5.0, 1.5204217212362137)	(6.0, 1.3124777202856124)	(7.0, 1.1342400051850972)	(8.0, 0.8944292612316767)	(9.0, 1.006232918885636)	('>10', 22.194376330031435)	('>50', 8.972378555302301)	('>100', 10.80174564937941)	('>500', 0.38024045888109925)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
