Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
HBR_Rep1_ERCC_read1	5.0	118571	41864	118571	11857100	56783	11740864	0.9803071577367147
HBR_Rep1_ERCC_read2	5.0	118571	41851	118571	11857100	111177	11683718	1.4622631166136746
HBR_Rep2_ERCC_read1	5.0	144826	51587	144826	14482600	74117	14335141	1.0181804372143122
HBR_Rep2_ERCC_read2	5.0	144826	50383	144826	14482600	143268	14264851	1.5035214671398782
HBR_Rep3_ERCC_read1	5.0	129786	45899	129786	12978600	66747	12846259	1.0196862527545343
HBR_Rep3_ERCC_read2	5.0	129786	45557	129786	12978600	133166	12778149	1.544473209745273
UHR_Rep1_ERCC_read1	5.0	227392	79546	227392	22739200	155796	22471782	1.1760220236419927
UHR_Rep1_ERCC_read2	5.0	227392	80875	227392	22739200	421055	22211834	2.3191932873627916
UHR_Rep2_ERCC_read1	5.0	162373	56477	162373	16237300	120527	16035289	1.2441169406243648
UHR_Rep2_ERCC_read2	5.0	162373	54844	162373	16237300	299086	15857138	2.3412882683697416
UHR_Rep3_ERCC_read1	5.0	185442	64785	185442	18544200	130089	18323155	1.1919899483396426
UHR_Rep3_ERCC_read2	5.0	185442	65691	185442	18544200	318995	18138260	2.1890402389965593
